qid,vid_name,q,a0,a1,a2,a3,answer_idx,chunk_ids,oracle_idx
-99aZZhUgRk_q2_10,-99aZZhUgRk,Are the two respectful towards each other?,The woman is actually the man's sister.,"The two people are respectful to each other because they are acquaintances, not enemies or good friends.","No, the woman is upset with the man's behavior.","The two people are respectful to each other, the woman offends the man.",1,"[0, 1, 2, 3, 4]",1
-99aZZhUgRk_q1_4,-99aZZhUgRk,Does the man care for his parents?,"The man cares for his parents, and only lived with them to get money.","The man cares for his parents, as he dropped out of school to prevent straining the family finances.",The man discussing his book is a victim of discrimination.,The woman is a famous actress.,1,"[0, 1, 2, 3, 4]",1
-99aZZhUgRk_q3_0,-99aZZhUgRk,Does the man face hardship well?,He struggles to face challenges.,"Yes, he endures hardships well.",The woman is impressed with the man's story.,"No, he is able to face hardship.",1,"[0, 1, 2, 3, 4]",1
-99aZZhUgRk_q5_0,-99aZZhUgRk,What does the girl with cardigan feel towards the man?,The girl with cardigan has negative opinions about the man's book.,She likes him.,The girl with cardigan is annoyed with the man.,She respects him.,3,"[0, 1, 2, 3, 4]",1
-99aZZhUgRk_q4_6,-99aZZhUgRk,Why does the woman ask the man about his challenges?,The woman wants to help the man despite not knowing much about his story.,She asks him because she wants to help him with his studies.,The woman wants to offer support to the man.,The woman asks the man about his challenges because she is interested in where he came from.,3,"[0, 1, 2, 3, 4]",1
-9NhaKWMtWU_q1_0,-9NhaKWMtWU,Describe the mood of the man on the right at the start of the video,He was telling funny jokes and making everyone laugh.,He is overcome with laughter and sadness.,He is overcome with laughter and happiness,The man on the right is nervous and uncomfortable.,2,"[0, 1, 2, 3, 4, 5, 6]",2
-9NhaKWMtWU_q21_0,-9NhaKWMtWU,Describe the relationship between the two men in the video,The two men are arguing with each other.,The two men are discussing their favorite foods.,They seem close and friendly,They seem friendly and friendly.,2,"[0, 1, 2, 3, 4, 5, 6]",2
-9NhaKWMtWU_q2_9,-9NhaKWMtWU,Do the men appear to get along?,be playing this game.,"Yes, they seem to be very good friends with each other",The men are arguing with each other.,The men don't want to be on camera together.,1,"[0, 1, 2, 3, 4, 5, 6]",2
-9NhaKWMtWU_q5_0,-9NhaKWMtWU,Does it seem like these two people are enemies?,They are brothers.,"Yes, it seems like they are enemies.",They are coworkers.,"No, it seems like they are friends.",3,"[0, 1, 2, 3, 4, 5, 6]",2
-9NhaKWMtWU_q15_11,-9NhaKWMtWU,Does the man on the left actually believe the man on the right is racist?,"No, he is simply making fun of his friend",The man on the left's lowering of his eyebrows suggests that he is skeptical of the man on the right's racist jokes.,The men are discussing their favorite movies.,"Yes, he thinks the man on the right is racist and is shocked at what he heard him say at a previous social event.",0,"[0, 1, 2, 3, 4, 5, 6]",2
-9NhaKWMtWU_q16_0,-9NhaKWMtWU,Does the person answering questions seem enthusiastic about the game?,"Yes, he seems enthusiastic.",The men are discussing their favorite sports team.,"Yes, he does not seem enthusiastic.",The men are discussing their favorite movies.,0,"[0, 1, 2, 3, 4, 5, 6]",2
